id,name,drop_ratio,std,mean,count
32526,Sunshine S1,0.03901570341589768,1.6710707387224024,7.368589412857291,77528
34973,Sunshine S2,0.024927295388450354,1.6724062696577575,7.584746483063453,47058
37027,Sunshine Movie,0.0068270481144343306,1.6827556745380836,7.639397352858349,14204
15051,School Idol Project S1,0.034777399660969426,1.6609564568310593,7.397653096065396,199156
19111,School Idol Project S2,0.018093803498075746,1.5457625038416527,7.7843095307223305,130882
24997,School Idol Project Movie,0.0064212290800081595,1.568110957033378,7.951344651206577,63734
41169,Superstar,0.014701833599471395,1.6535264519960635,8.107191847932588,5103
40879,Nijigasaki,0.035693757903207265,1.6558626593214598,7.562496883880939,20057
10278,The iDOLM@STER,0.061465120666386104,1.6148895822257752,7.491588633507641,49338
17437,The iDOLM@STER Movie,0.008053691275167786,1.5528322230152796,7.623546798029556,10150
30344,The iDOLM@STER CG S2,0.020975790057290705,1.5479308724164464,7.351709072217939,15564
23587,The iDOLM@STER CG S1,0.04364002905382369,1.5737346619308725,7.146496089894465,26342
33573,Bandori S1,0.0486964255934182,1.644923419094196,6.945671845654772,29285
37869,Bandori S2,0.0368842587016741,1.6103518251153768,7.566934487021014,16180
37870,Bandori S3,0.020726979618470042,1.5153682689574846,8.046196878101597,11083
39619,Bandori Film Live,0.01351039260969977,1.5952347842135546,7.746818025455797,2907
